timestep	Fx	Fy
2.71	0.668991	-0.00988599
2.715	0.670924	-0.00905207
2.72	0.671107	-0.0093862
2.725	0.670851	0.00592917
2.73	0.671695	-0.00207411
2.735	0.671519	-0.00756617
2.74	0.667671	-0.00963089
2.745	0.670509	-0.0103238
2.75	0.660381	-0.0104652
2.755	0.665314	-0.011002
2.76	0.667691	-0.0102401
2.765	0.668277	-0.0110257
2.77	0.668674	-0.0110315
2.775	0.66818	-0.0113292
2.78	0.668968	-0.00661122
2.785	0.681867	-0.00945786
2.79	0.67548	-0.0116198
2.795	0.671786	-0.0114697
2.8	0.669053	-0.00733304
2.805	0.668458	-0.011104
2.81	0.667913	-0.0120742
2.815	0.667592	-0.0121788
2.82	0.667436	-0.0116453
2.825	0.667384	-0.0122517
2.83	0.666876	-0.00779377
2.835	0.667178	-0.0110825
2.84	0.666826	-0.0022325
2.845	0.666194	-0.00782635
2.85	0.666082	-0.0118751
2.855	0.665964	-0.0136342
2.86	0.665706	-0.0151366
2.865	0.665587	-0.0146343
2.87	0.665554	-0.0162439
2.875	0.664754	-0.0164326
2.88	0.664903	-0.0164696
2.885	0.665072	-0.0167468
2.89	0.664874	-0.0166295
2.895	0.664475	-0.0170187
2.9	0.664581	-0.0174242
2.905	0.664176	-0.0175286
2.91	0.664309	-0.0179662
2.915	0.65594	-0.0182027
2.92	0.674894	-0.0188123
2.925	0.670229	-0.0185728
2.93	0.666571	-0.0178404
2.935	0.664441	-0.0108914
2.94	0.664649	-0.014601
2.945	0.663806	-0.0170649
2.95	0.663028	-0.00992257
2.955	0.662697	-0.0147791
2.96	0.662429	-0.0172931
2.965	0.662243	-0.0185874
2.97	0.678581	-0.0197404
2.975	0.670856	-0.0201144
2.98	0.666091	-0.0188857
2.985	0.663738	-0.0195195
2.99	0.66249	-0.0195546
2.995	0.64063	-0.0204771
3	0.650931	-0.0210155
3.005	0.656304	-0.0211139
3.01	0.658265	-0.0213836
3.015	0.659042	-0.0210216
3.02	0.659409	-0.0129969
3.025	0.659434	-0.0187577
3.03	0.659769	-0.0134229
3.035	0.659036	-0.0187421
3.04	0.658605	-0.0208764
3.045	0.641173	-0.0227931
3.05	0.649869	-0.0236066
3.055	0.661755	-0.0238729
3.06	0.660131	-0.0242931
3.065	0.658929	-0.024497
3.07	0.657868	-0.0244811
3.075	0.657585	-0.0247016
3.08	0.657426	-0.0247913
3.085	0.657167	-0.0255346
3.09	0.657014	-0.025848
3.095	0.656814	-0.0259575
3.1	0.656776	-0.026151
3.105	0.656649	-0.0262819
3.11	0.656726	-0.0270213
3.115	0.656057	-0.0272183
3.12	0.656185	-0.0158628
3.125	0.656129	-0.0224202
3.13	0.65594	-0.0202829
3.135	0.655693	-0.0238571
3.14	0.655549	-0.0259248
3.145	0.655382	-0.0275174
3.15	0.655346	-0.0253333
3.155	0.655393	-0.0280466
3.16	0.655009	-0.028294
3.165	0.63845	-0.029279
3.17	0.646443	-0.0256892
3.175	0.650251	-0.0277599
3.18	0.65211	-0.0293303
3.185	0.652957	-0.0300714
3.19	0.656664	-0.030605
3.195	0.638296	-0.0317899
3.2	0.660773	-0.0310223
3.205	0.657732	-0.0305059
3.21	0.656056	-0.0134199
3.215	0.654037	-0.0223063
3.22	0.653359	-0.0274401
3.225	0.664617	-0.0300546
3.23	0.659613	-0.0317016
3.235	0.655778	-0.0314853
3.24	0.653811	-0.0318444
3.245	0.65209	-0.01959
3.25	0.652353	-0.0294053
3.255	0.651578	-0.031548
3.26	0.63307	-0.0328649
3.265	0.641943	-0.0330224
3.27	0.645125	-0.0303694
3.275	0.6495	-0.0334219
3.28	0.650181	-0.0225735
3.285	0.639961	-0.0277758
3.29	0.645405	-0.0324217
3.295	0.64817	-0.0335134
3.3	0.649431	-0.03407
3.305	0.649791	-0.0338357
3.31	0.650034	-0.0350436
3.315	0.650226	-0.0346752
3.32	0.637988	-0.0352401
3.325	0.648073	-0.0359714
3.33	0.649307	-0.0358744
3.335	0.648801	-0.0258085
3.34	0.648976	-0.0310519
3.345	0.663297	-0.0345956
3.35	0.657708	-0.0290828
3.355	0.653553	-0.033781
3.36	0.651104	-0.0363124
3.365	0.649389	-0.0364513
3.37	0.649294	-0.0369141
3.375	0.649326	-0.0374383
3.38	0.648812	-0.0376729
3.385	0.648521	-0.0366325
3.39	0.647243	-0.0186898
3.395	0.648538	-0.0324255
