timestep	Fx	Fy
2.46	0.684968	8.50484e-06
2.465	0.684273	0.000370307
2.47	0.683783	-0.000595381
2.475	0.683705	-0.00105246
2.48	0.683595	-0.000974445
2.485	0.683435	-0.00110476
2.49	0.683653	-0.00109053
2.495	0.684076	0.00619313
2.5	0.682129	0.000106658
2.505	0.660721	-0.00128106
2.51	0.670585	-0.00166258
2.515	0.676418	-0.00171573
2.52	0.680512	-0.00211207
2.525	0.679491	-0.00188016
2.53	0.679883	0.0109949
2.535	0.681667	-4.86054e-05
2.54	0.681684	-0.00204585
2.545	0.676119	-0.00291841
2.55	0.688681	-0.00305202
2.555	0.68571	-0.00323934
2.56	0.68269	-0.00377612
2.565	0.681075	-0.00386309
2.57	0.681188	-0.00342908
2.575	0.680041	-0.0041439
2.58	0.679413	-0.0047515
2.585	0.679349	-0.00502741
2.59	0.677849	-0.00459908
2.595	0.67867	-0.00475939
2.6	0.678305	-0.00573767
2.605	0.677387	-0.00504251
2.61	0.677159	-0.00614368
2.615	0.688667	-0.00538791
2.62	0.682978	0.00677253
2.625	0.679203	-0.0025571
2.63	0.677914	-0.00271164
2.635	0.677418	-0.00537701
2.64	0.675898	-0.00666956
2.645	0.675737	-0.00699529
2.65	0.692121	-0.00804301
2.655	0.685279	-0.00780622
2.66	0.679909	-0.00741811
2.665	0.677654	-0.00748828
2.67	0.6765	0.00375143
2.675	0.675451	-0.00507151
2.68	0.673941	-0.00715053
2.685	0.67406	-0.00855547
2.69	0.674086	-0.00857106
2.695	0.672932	-0.00946494
2.7	0.658715	-0.0100651
2.705	0.666096	-0.00965046
2.71	0.668979	-0.009597
2.715	0.67087	-0.0102719
2.72	0.670293	0.0111654
2.725	0.671535	-0.00541253
2.73	0.671572	-0.00878108
2.735	0.671709	-0.0102191
2.74	0.667522	-0.0109494
2.745	0.670707	-0.011723
2.75	0.659938	-0.0113149
2.755	0.66536	-0.0113436
2.76	0.667403	-0.0108404
2.765	0.668336	-0.0106704
2.77	0.668709	-0.0116916
2.775	0.668755	-0.0108351
2.78	0.668644	-0.00703982
2.785	0.681632	-0.0109916
2.79	0.675414	-0.0115855
2.795	0.671632	-0.0119106
2.8	0.669207	-0.0124184
2.805	0.668166	-0.00787564
2.81	0.667812	-0.0122503
2.815	0.667701	-0.0122177
2.82	0.667206	-0.0112471
2.825	0.666943	-0.0134791
2.83	0.66711	-0.00650241
2.835	0.666566	-0.0124649
2.84	0.666748	0.000464081
2.845	0.66623	-0.0102313
2.85	0.666054	-0.0128227
2.855	0.665793	-0.0147993
2.86	0.665571	-0.0154253
2.865	0.665598	-0.015504
2.87	0.665643	-0.0165153
2.875	0.66497	-0.0166405
2.88	0.66457	-0.0162035
2.885	0.664671	-0.0167495
2.89	0.664784	-0.0176551
2.895	0.664381	-0.0174194
2.9	0.664261	-0.0178637
2.905	0.664324	-0.0179497
2.91	0.66391	-0.0179539
2.915	0.663836	-0.0184329
2.92	0.655905	-0.0187756
2.925	0.674355	-0.0195435
2.93	0.66985	-0.0181857
2.935	0.666363	-0.0189263
2.94	0.664215	-0.00866523
2.945	0.664334	-0.0175042
2.95	0.663511	-0.0187847
2.955	0.662721	-0.00975842
2.96	0.662397	-0.0168879
2.965	0.662098	-0.0194537
2.97	0.661963	-0.0193899
2.975	0.661781	-0.020879
2.98	0.677905	-0.0215469
2.985	0.67028	-0.0207235
2.99	0.665642	-0.0215203
2.995	0.663281	-0.0202538
3	0.662028	-0.0223068
3.005	0.640187	-0.022687
3.01	0.6511	-0.0221005
3.015	0.655584	-0.0226355
3.02	0.657563	-0.0224683
3.025	0.658477	-0.0119248
3.03	0.658882	-0.0206264
3.035	0.65888	-0.0227523
3.04	0.659218	-0.0135456
3.045	0.658254	-0.0197531
3.05	0.657739	-0.0229412
3.055	0.641006	-0.0240138
3.06	0.657254	-0.0245997
3.065	0.657699	-0.0249855
3.07	0.657539	-0.024787
3.075	0.656895	-0.0248179
3.08	0.656867	-0.0250108
3.085	0.656946	-0.025566
3.09	0.656755	-0.0258549
3.095	0.656699	-0.0260983
3.1	0.656422	-0.0258582
3.105	0.656312	-0.0266376
3.11	0.656354	-0.0272324
3.115	0.6561	-0.0274323
3.12	0.655773	-0.0273275
3.125	0.655814	-0.0134751
3.13	0.656087	-0.0248524
3.135	0.655419	-0.0201205
3.14	0.655264	-0.0248196
3.145	0.655139	-0.027485
3.15	0.655001	-0.0278396
3.155	0.655015	-0.0246617
3.16	0.65494	-0.0282311
3.165	0.654647	-0.0290504
3.17	0.63813	-0.0298585
3.175	0.646351	-0.0247618
3.18	0.649791	-0.0293872
3.185	0.651648	-0.0305191
3.19	0.6526	-0.0303128
3.195	0.668561	-0.0306473
3.2	0.649901	-0.0315027
3.205	0.648452	-0.0314393
3.21	0.651598	-0.0314748
3.215	0.652004	-0.0311426
3.22	0.652894	-0.00891636
3.225	0.652145	-0.0261777
3.23	0.65149	-0.0300998
3.235	0.664213	-0.0307246
3.24	0.658904	-0.031402
3.245	0.655184	-0.0319705
3.25	0.653135	-0.0323426
3.255	0.651561	-0.0206082
3.26	0.651812	-0.0299895
3.265	0.651111	-0.0314578
3.27	0.630862	-0.0335075
3.275	0.64021	-0.0338
3.28	0.646477	-0.0322942
3.285	0.6476	-0.0198245
3.29	0.6371	-0.0302117
3.295	0.645907	-0.0322446
3.3	0.647624	-0.0341178
3.305	0.649341	-0.0344232
3.31	0.649786	-0.0350129
3.315	0.649737	-0.0350047
3.32	0.649891	-0.0351651
3.325	0.649852	-0.0353903
3.33	0.640499	-0.0362126
3.335	0.645783	-0.0357957
3.34	0.64613	-0.0237785
3.345	0.64848	-0.032683
3.35	0.64814	-0.0350529
3.355	0.662708	-0.0365111
3.36	0.655691	-0.0297822
3.365	0.653138	-0.0341295
3.37	0.650652	-0.0366967
3.375	0.649612	-0.0373645
3.38	0.648878	-0.0372423
3.385	0.649178	-0.0378069
3.39	0.64833	-0.0375677
3.395	0.648182	-0.0386598
3.4	0.646139	-0.0165943
3.405	0.648572	-0.0336879
3.41	0.652901	-0.0274319
3.415	0.650395	-0.0353735
3.42	0.648754	-0.0383921
3.425	0.647655	-0.0393084
3.43	0.647522	-0.0395388
3.435	0.646952	-0.0374678
3.44	0.644796	-0.0274655
3.445	0.647017	-0.0372209
3.45	0.646753	-0.0399811
3.455	0.646243	-0.0406301
3.46	0.645767	-0.0376399
3.465	0.658248	-0.0410517
3.47	0.667843	-0.041686
3.475	0.658531	-0.0423325
3.48	0.652066	-0.0419382
3.485	0.659666	-0.0423303
3.49	0.654207	-0.0422341
3.495	0.64981	-0.0418827
3.5	0.646886	-0.0423085
3.505	0.64562	-0.0426058
3.51	0.644785	-0.0429431
3.515	0.644566	-0.0430165
3.52	0.644586	-0.0434665
3.525	0.643622	-0.0429462
3.53	0.643512	-0.0440134
3.535	0.656753	-0.0441594
3.54	0.650165	-0.0312872
3.545	0.647691	-0.0416672
3.55	0.645208	-0.0432707
3.555	0.671763	-0.0378424
3.56	0.673739	-0.0434889
3.565	0.659357	-0.0437692
3.57	0.595255	-0.0395197
3.575	0.618743	-0.0425378
3.58	0.62929	-0.0430742
3.585	0.632957	-0.0327577
3.59	0.616066	-0.040773
3.595	0.628848	-0.0424136
3.6	0.633898	-0.0433164
3.605	0.63626	-0.0446471
3.61	0.637106	-0.0444142
3.615	0.637579	-0.0444048
3.62	0.637942	-0.0458011
3.625	0.637986	-0.0457045
3.63	0.637995	-0.0449826
3.635	0.63789	-0.0456422
3.64	0.637742	-0.0463957
3.645	0.620469	-0.047062
3.65	0.629446	-0.0460412
3.655	0.633149	-0.0462655
3.66	0.613063	-0.04676
3.665	0.607798	-0.044479
3.67	0.622227	-0.0462784
3.675	0.629094	-0.0471019
3.68	0.631714	-0.0462409
3.685	0.633686	-0.0459278
3.69	0.635119	-0.0365172
3.695	0.634378	-0.0400247
3.7	0.63484	-0.045012
3.705	0.63503	-0.0470709
3.71	0.634906	-0.0475614
3.715	0.634944	-0.04767
3.72	0.627248	-0.0378742
3.725	0.632189	-0.0460061
3.73	0.632162	-0.0272169
3.735	0.634203	-0.0420548
3.74	0.634078	-0.0451348
3.745	0.633877	-0.048101
3.75	0.633181	-0.0490006
3.755	0.633469	-0.0495864
3.76	0.633623	-0.0497863
3.765	0.633606	-0.0499279
3.77	0.633529	-0.0505179
3.775	0.633429	-0.043523
3.78	0.61142	-0.0489613
3.785	0.62296	-0.0498075
3.79	0.627738	-0.050451
3.795	0.62878	-0.0379837
3.8	0.631483	-0.0482402
3.805	0.627753	-0.0494688
3.81	0.639632	-0.0511899
3.815	0.637217	-0.0504002
3.82	0.634599	-0.050979
3.825	0.6337	-0.0521006
3.83	0.632542	-0.051433
3.835	0.632035	-0.0516336
3.84	0.631701	-0.0518466
3.845	0.631579	-0.0520501
3.85	0.641508	-0.0515231
3.855	0.636478	-0.0526496
3.86	0.632307	-0.0402054
3.865	0.632233	-0.0468768
3.87	0.630749	-0.0508883
3.875	0.630672	-0.0518231
3.88	0.642901	-0.0531647
3.885	0.638548	-0.0527707
3.89	0.634184	-0.0527984
3.895	0.63118	-0.0418755
3.9	0.630841	-0.0505906
3.905	0.62925	-0.0522235
3.91	0.629265	-0.0526077
3.915	0.629394	-0.0540166
3.92	0.61353	-0.0537451
3.925	0.621905	-0.0540324
3.93	0.625055	-0.0541072
3.935	0.627102	-0.0539773
3.94	0.625331	-0.0338536
3.945	0.626112	-0.0494338
3.95	0.626573	-0.0523235
3.955	0.622382	-0.0542237
3.96	0.636468	-0.0541393
3.965	0.611711	-0.0539927
3.97	0.618551	-0.0539573
3.975	0.621816	-0.0537369
3.98	0.623821	-0.0536128
3.985	0.62505	-0.0538437
3.99	0.624461	-0.0538835
3.995	0.624944	-0.0490127
4	0.63727	-0.0534516
4.005	0.631353	-0.0538712
4.01	0.628088	-0.0541209
4.015	0.626135	-0.0495035
4.02	0.62498	-0.0530217
4.025	0.62467	-0.0537476
4.03	0.624664	-0.0533479
4.035	0.624778	-0.0533239
4.04	0.62441	-0.0540014
4.045	0.624298	-0.0469459
4.05	0.624086	-0.0528781
4.055	0.623733	-0.0413917
4.06	0.623497	-0.0508633
4.065	0.624089	-0.0530934
4.07	0.623776	-0.0543298
4.075	0.623264	-0.0547106
