ts	X	Y	U	V
313	0	0.00841295	1.42949e-316	0.00416555
314	0	0.00843364	1.42949e-316	0.00411334
315	0	0.00845408	1.42949e-316	0.00406127
316	0	0.00847426	1.42949e-316	0.00400894
317	0	0.00849417	1.42949e-316	0.00395532
318	0	0.00851381	1.42949e-316	0.00390282
319	0	0.00853319	1.42949e-316	0.00384966
320	0	0.00855231	1.42949e-316	0.00379642
321	0	0.00857116	1.42949e-316	0.00374241
322	0	0.00858973	1.42949e-316	0.0036878
323	0	0.00860803	1.42949e-316	0.00363338
324	0	0.00862607	1.42949e-316	0.00357921
325	0	0.00864382	1.42949e-316	0.00352302
326	0	0.00866129	1.42949e-316	0.00346594
327	0	0.00867848	1.42949e-316	0.00340878
328	0	0.00869538	1.42949e-316	0.00335163
329	0	0.00871199	1.42949e-316	0.00329347
330	0	0.00872831	1.42949e-316	0.00323479
331	0	0.00874434	1.42949e-316	0.00317646
332	0	0.00876008	1.42949e-316	0.00311747
333	0	0.00877552	1.42949e-316	0.00305867
334	0	0.00879066	1.42949e-316	0.00299934
335	0	0.00880551	1.42949e-316	0.00293957
336	0	0.00882006	1.42949e-316	0.00287938
337	0	0.0088343	1.42949e-316	0.00281822
338	0	0.00884824	1.42949e-316	0.00275644
339	0	0.00886187	1.42949e-316	0.00269587
340	0	0.0088752	1.42949e-316	0.00263517
341	0	0.00888822	1.42949e-316	0.00257258
342	0	0.00890092	1.42949e-316	0.00251088
343	0	0.00891332	1.42949e-316	0.00244855
344	0	0.00892541	1.42949e-316	0.00238551
345	0	0.00893718	1.42949e-316	0.00232292
346	0	0.00894864	1.42949e-316	0.00225975
347	0	0.00895978	1.42949e-316	0.00219729
348	0	0.00897061	1.42949e-316	0.00213319
349	0	0.00898111	1.42949e-316	0.00206899
350	0	0.0089913	1.42949e-316	0.00200478
351	0	0.00900116	1.42949e-316	0.00193976
352	0	0.00901069	1.42949e-316	0.00187495
353	0	0.00901991	1.42949e-316	0.00180978
354	0	0.00902879	1.42949e-316	0.00174502
355	0	0.00903735	1.42949e-316	0.00167846
356	0	0.00904558	1.42949e-316	0.00161266
357	0	0.00905347	1.42949e-316	0.00154575
358	0	0.00906104	1.42949e-316	0.0014787
359	0	0.00906826	1.42949e-316	0.00141251
360	0	0.00907516	1.42949e-316	0.00134491
361	0	0.00908171	1.42949e-316	0.00127752
362	0	0.00908793	1.42949e-316	0.00120931
363	0	0.00909381	1.42949e-316	0.00114324
364	0	0.00909935	1.42949e-316	0.00107351
365	0	0.00910455	1.42949e-316	0.00100465
366	0	0.0091094	1.42949e-316	0.000936747
367	0	0.00911391	1.42949e-316	0.000867509
368	0	0.00911807	1.42949e-316	0.000797117
369	0	0.00912189	1.42949e-316	0.00072756
370	0	0.00912535	1.42949e-316	0.000657203
371	0	0.00912846	1.42949e-316	0.000586832
372	0	0.00913122	1.42949e-316	0.000515886
373	0	0.00913362	1.42949e-316	0.000446468
374	0	0.00913567	1.42949e-316	0.000374837
375	0	0.00913737	1.42949e-316	0.00030427
376	0	0.00913872	1.42949e-316	0.000233087
377	0	0.0091397	1.42949e-316	0.000160804
378	0	0.00914032	1.42949e-316	8.83931e-05
379	0	0.00914058	1.42949e-316	1.60242e-05
380	0	0.00914048	1.42949e-316	-5.65802e-05
381	0	0.00914002	1.42949e-316	-0.000129177
382	0	0.00913919	1.42949e-316	-0.000202855
383	0	0.00913799	1.42949e-316	-0.000276264
384	0	0.00913643	1.42949e-316	-0.000349913
385	0	0.00913449	1.42949e-316	-0.000423202
386	0	0.00913219	1.42949e-316	-0.000496961
387	0	0.00912952	1.42949e-316	-0.000570494
388	0	0.00912648	1.42949e-316	-0.000645196
389	0	0.00912307	1.42949e-316	-0.000720523
390	0	0.00911928	1.42949e-316	-0.000795021
391	0	0.00911512	1.42949e-316	-0.000869756
392	0	0.00911058	1.42949e-316	-0.000945072
393	0	0.00910567	1.42949e-316	-0.00102065
394	0	0.00910038	1.42949e-316	-0.00109644
395	0	0.0090947	1.42949e-316	-0.00117166
396	0	0.00908865	1.42949e-316	-0.00124864
397	0	0.00908222	1.42949e-316	-0.0013249
398	0	0.0090754	1.42949e-316	-0.00140184
399	0	0.0090682	1.42949e-316	-0.00147753
400	0	0.00906063	1.42949e-316	-0.00155408
401	0	0.00905266	1.42949e-316	-0.00163147
402	0	0.00904431	1.42949e-316	-0.0017093
403	0	0.00903557	1.42949e-316	-0.00178703
404	0	0.00902644	1.42949e-316	-0.00186454
405	0	0.00901692	1.42949e-316	-0.00194339
406	0	0.00900701	1.42949e-316	-0.00202184
407	0	0.0089967	1.42949e-316	-0.00209925
408	0	0.00898601	1.42949e-316	-0.00217826
409	0	0.00897492	1.42949e-316	-0.00225711
410	0	0.00896344	1.42949e-316	-0.00233665
411	0	0.00895156	1.42949e-316	-0.00241595
412	0	0.00893928	1.42949e-316	-0.00249482
413	0	0.00892661	1.42949e-316	-0.00257455
414	0	0.00891354	1.42949e-316	-0.00265383
415	0	0.00890007	1.42949e-316	-0.00273392
416	0	0.0088862	1.42949e-316	-0.0028138
417	0	0.00887193	1.42949e-316	-0.00289393
418	0	0.00885726	1.42949e-316	-0.00297308
419	0	0.00884219	1.42949e-316	-0.00305422
420	0	0.00882672	1.42949e-316	-0.00313517
421	0	0.00881085	1.42949e-316	-0.00321389
422	0	0.00879458	1.42949e-316	-0.00329384
423	0	0.0087779	1.42949e-316	-0.00337501
424	0	0.00876082	1.42949e-316	-0.00345711
425	0	0.00874334	1.42949e-316	-0.003538
426	0	0.00872544	1.42949e-316	-0.00361903
427	0	0.00870714	1.42949e-316	-0.00370038
428	0	0.00868844	1.42949e-316	-0.00378245
429	0	0.00866932	1.42949e-316	-0.00386324
430	0	0.0086498	1.42949e-316	-0.00394596
431	0	0.00862986	1.42949e-316	-0.00402848
432	0	0.00860952	1.42949e-316	-0.0041105
433	0	0.00858876	1.42949e-316	-0.00419373
434	0	0.00856758	1.42949e-316	-0.00427592
435	0	0.008546	1.42949e-316	-0.00435774
436	0	0.00852401	1.42949e-316	-0.00443919
437	0	0.0085016	1.42949e-316	-0.0045213
438	0	0.00847879	1.42949e-316	-0.00460314
439	0	0.00845557	1.42949e-316	-0.00468523
440	0	0.00843194	1.42949e-316	-0.0047674
441	0	0.0084079	1.42949e-316	-0.00484971
442	0	0.00838344	1.42949e-316	-0.00493263
443	0	0.00835857	1.42949e-316	-0.0050147
444	0	0.00833329	1.42949e-316	-0.00509772
445	0	0.0083076	1.42949e-316	-0.00518016
446	0	0.00828149	1.42949e-316	-0.00526362
447	0	0.00825496	1.42949e-316	-0.00534604
448	0	0.00822803	1.42949e-316	-0.00542775
449	0	0.00820068	1.42949e-316	-0.0055104
450	0	0.00817295	1.42949e-316	-0.00558441
451	0	0.00814483	1.42949e-316	-0.00566303
452	0	0.00811631	1.42949e-316	-0.00574273
453	0	0.0080874	1.42949e-316	-0.00582493
454	0	0.00805807	1.42949e-316	-0.00590589
455	0	0.00802834	1.42949e-316	-0.0059849
456	0	0.00799821	1.42949e-316	-0.00606703
457	0	0.00796767	1.42949e-316	-0.00614929
458	0	0.00793672	1.42949e-316	-0.00623118
459	0	0.00790536	1.42949e-316	-0.00631466
460	0	0.00787358	1.42949e-316	-0.00639484
461	0	0.00784141	1.42949e-316	-0.00647312
462	0	0.00780885	1.42949e-316	-0.00655301
463	0	0.00777595	1.42949e-316	-0.00660707
464	0	0.00774272	1.42949e-316	-0.00668138
465	0	0.00770914	1.42949e-316	-0.00675094
466	0	0.0076752	1.42949e-316	-0.00682807
467	0	0.00764086	1.42949e-316	-0.0069085
468	0	0.00760611	1.42949e-316	-0.00698875
469	0	0.00757096	1.42949e-316	-0.00707018
470	0	0.00753541	1.42949e-316	-0.00715318
471	0	0.00749943	1.42949e-316	-0.00723614
472	0	0.00746305	1.42949e-316	-0.00731845
473	0	0.00742625	1.42949e-316	-0.00740157
474	0	0.00738903	1.42949e-316	-0.00748421
475	0	0.0073514	1.42949e-316	-0.00756667
476	0	0.00731337	1.42949e-316	-0.00764919
477	0	0.00727498	1.42949e-316	-0.00770323
478	0	0.00723628	1.42949e-316	-0.00777921
479	0	0.00719719	1.42949e-316	-0.0078577
480	0	0.00715769	1.42949e-316	-0.00793953
481	0	0.00711779	1.42949e-316	-0.00802215
482	0	0.00707761	1.42949e-316	-0.0080482
483	0	0.00703721	1.42949e-316	-0.00811473
484	0	0.00699644	1.42949e-316	-0.00818964
485	0	0.0069553	1.42949e-316	-0.00826802
486	0	0.00691376	1.42949e-316	-0.00834935
487	0	0.00687181	1.42949e-316	-0.00842935
488	0	0.00682946	1.42949e-316	-0.00851121
489	0	0.0067867	1.42949e-316	-0.00859252
490	0	0.00674353	1.42949e-316	-0.0086753
491	0	0.00669995	1.42949e-316	-0.00875824
492	0	0.00665595	1.42949e-316	-0.00884033
493	0	0.00661155	1.42949e-316	-0.00892098
494	0	0.00656674	1.42949e-316	-0.00900348
495	0	0.00652151	1.42949e-316	-0.00908656
496	0	0.00647587	1.42949e-316	-0.00916889
497	0	0.00642982	1.42949e-316	-0.00925098
498	0	0.00638336	1.42949e-316	-0.00933246
499	0	0.00633654	1.42949e-316	-0.00939515
500	0	0.00628937	1.42949e-316	-0.00947247
501	0	0.00624181	1.42949e-316	-0.00955268
502	0	0.00619385	1.42949e-316	-0.00963325
503	0	0.00614548	1.42949e-316	-0.00971336
504	0	0.00609671	1.42949e-316	-0.00979385
505	0	0.00604755	1.42949e-316	-0.00987316
506	0	0.00599806	1.42949e-316	-0.00991967
507	0	0.00594828	1.42949e-316	-0.00999318
508	0	0.00589812	1.42949e-316	-0.0100711
509	0	0.00584757	1.42949e-316	-0.0101505
510	0	0.00579662	1.42949e-316	-0.0102296
511	0	0.00574527	1.42949e-316	-0.0103086
512	0	0.00569353	1.42949e-316	-0.0103883
513	0	0.00564139	1.42949e-316	-0.0104676
514	0	0.00558886	1.42949e-316	-0.0105451
515	0	0.00553593	1.42949e-316	-0.0106237
516	0	0.00548262	1.42949e-316	-0.0107033
517	0	0.0054289	1.42949e-316	-0.0107828
518	0	0.00537479	1.42949e-316	-0.0108606
519	0	0.0053203	1.42949e-316	-0.0109381
520	0	0.00526541	1.42949e-316	-0.0110174
521	0	0.00521013	1.42949e-316	-0.0110943
522	0	0.00515446	1.42949e-316	-0.0111733
523	0	0.0050984	1.42949e-316	-0.0112496
524	0	0.00504204	1.42949e-316	-0.0112949
525	0	0.0049854	1.42949e-316	-0.0113628
526	0	0.00492841	1.42949e-316	-0.0114304
527	0	0.00487108	1.42949e-316	-0.0115039
528	0	0.00481337	1.42949e-316	-0.01158
529	0	0.00475528	1.42949e-316	-0.0116561
530	0	0.0046968	1.42949e-316	-0.0117342
531	0	0.00463794	1.42949e-316	-0.0118109
532	0	0.0045787	1.42949e-316	-0.011886
533	0	0.00451908	1.42949e-316	-0.0119604
534	0	0.00445916	1.42949e-316	-0.0120061
535	0	0.00439897	1.42949e-316	-0.012073
536	0	0.00433842	1.42949e-316	-0.0121444
537	0	0.00427752	1.42949e-316	-0.0122186
538	0	0.00421624	1.42949e-316	-0.012292
539	0	0.00415459	1.42949e-316	-0.0123669
540	0	0.00409257	1.42949e-316	-0.0124426
541	0	0.00403017	1.42949e-316	-0.0125164
542	0	0.00396741	1.42949e-316	-0.0125894
543	0	0.00390427	1.42949e-316	-0.0126632
544	0	0.00384091	1.42949e-316	-0.0126827
545	0	0.00377735	1.42949e-316	-0.0127428
546	0	0.00371346	1.42949e-316	-0.0128106
547	0	0.00364923	1.42949e-316	-0.0128812
548	0	0.00358465	1.42949e-316	-0.0129528
549	0	0.0035197	1.42949e-316	-0.0130255
550	0	0.0034544	1.42949e-316	-0.0130964
551	0	0.00338874	1.42949e-316	-0.0131666
552	0	0.00332274	1.42949e-316	-0.0132347
553	0	0.0032564	1.42949e-316	-0.0133015
554	0	0.00318972	1.42949e-316	-0.0133701
555	0	0.0031227	1.42949e-316	-0.0134357
556	0	0.00305539	1.42949e-316	-0.013491
557	0	0.00298777	1.42949e-316	-0.0135553
558	0	0.00291983	1.42949e-316	-0.0136203
559	0	0.00285157	1.42949e-316	-0.0136853
560	0	0.00278298	1.42949e-316	-0.0137506
561	0	0.00271409	1.42949e-316	-0.0138038
562	0	0.00264491	1.42949e-316	-0.0138671
563	0	0.00257542	1.42949e-316	-0.0139294
564	0	0.00250563	1.42949e-316	-0.0139884
565	0	0.00243553	1.42949e-316	-0.0140522
566	0	0.00236515	1.42949e-316	-0.0140976
567	0	0.00229452	1.42949e-316	-0.0141571
568	0	0.00222367	1.42949e-316	-0.0141833
569	0	0.00215262	1.42949e-316	-0.0142355
570	0	0.0020813	1.42949e-316	-0.0142932
571	0	0.00200968	1.42949e-316	-0.014355
572	0	0.00193774	1.42949e-316	-0.0144175
